Company Code,MPD_AUG_2021,MPD_JUL_2021,MPD_JUN_2021,MPD_MAY_2021,MPD_APR_2021,MPD_MAR_2021,MPD_FEB_2021,MPD_JAN_2021,Average_Payment_Days,"('total_counts', '0')","('total_counts', '1-30')","('total_counts', '31-60')","('total_counts', '61-90')","('total_counts', '90+')",Risk
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0
1001,0,0,0,0,0,4,0,0,2,37,2,2,0,0,0
1001,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,4,5,1,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,2,32,2,2,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,9,0,3,79,26,11,0,0,0
1001,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,4,7,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1001,0,0,0,0,0,17,0,0,2,9,0,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,1,21,2,0,0,0,0
1001,0,0,0,0,0,0,1,0,0,50,9,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,2,0,0,76,6,0,0,0,0
1001,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,41,0,6,5,1,1,0,0,0
1001,0,0,0,0,0,1,0,0,0,31,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,3,68,14,0,0,0,0
1001,0,0,0,0,0,0,9,0,4,23,24,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1001,0,0,0,0,0,6,0,0,0,21,1,0,0,0,0
1001,0,0,0,0,0,15,0,0,6,4,4,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
1001,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0
1001,0,0,0,0,0,0,23,0,6,10,2,0,0,0,0
1001,0,0,0,0,0,0,0,11,5,3,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
